category,code
Barrington Levy,543
Barrio Jazz Gang,544
Barry Manilow,545
Bart & Baker,546
Bart Crow,547
Bas,548
Base Ball Bear,549
Basement,550
Basement Jaxx,551
Basia,552
Bass Santana,553
Bassnectar,554
Bastien Keb,555
Bastille,556
Battle Beast,557
Battle Tapes,558
Bay Faction,559
Bayside,560
Bazanji,561
Be Svendsen,562
Beach Fossils,563
Beach House,564
Beamic,565
Beanie Sigel,566
Beans & Fatback,567
Bear Grillz,568
Beastie Boys,569
Bebe,570
Beck,571
"Beck, Bogert, Appice",572
Bedouin,573
Bedroom,574
Bedřich Smetana,575
Bee Gees,576
Beirut,577
Belanova,578
Belinda Carlisle,579
Bella Boo,580
Belle & Sebastian,581
Belleruche,582
Bellorum,583
Belly,584
Belmont,585
Ben E. King,586
Ben Folds,587
Ben Folds Five,588
Ben Miller Band,589
Ben Rector,590
Ben Rue,591
Ben Tankard,592
Ben Webster,593
Benet Casablancas,594
Benjamin Booker,595
Benjamin Britten,596
Benny Benni,597
Benny Berigan,598
Benny Golson,599
Benny Goodman,600
Benny Goodman Sextet,601
Benny Sings,602
Benny The Butcher,603
Bent,604
Bentley Rhythm Ace,605
Beny Moré,606
Beowülf,607
Beret,608
Berhana,609
Berlin,610
"Bernard ""Pretty"" Purdie",611
Bernard Allison,612
Bernard Wright,613
Berner,614
Bernstein (CH),615
Bessie Smith,616
Best Coast,617
Beth Hart,618
Better Oblivion Community Center,619
Better Than Ezra,620
Betty Carter,621
Betty Everett,622
Between The Buried And Me,623
Bibi Bourelly,624
Bibio,625
Bicep,626
Bicurious,627
Big & Rich,628
Big Bad Voodoo Daddy,629
Big Bill Broonzy,630
Big Boi,631
Big Brother & The Holding Company,632
Big Daddy Kane,633
Big Daddy Weave,634
Big Daddy Wilson,635
Big Data,636
Big Gigantic,637
Big Jay McNeely,638
Big Joe Turner,639
Big John Patton,640
Big K.R.I.T.,641
Big L,642
Big Mama Thornton,643
Big Matt,644
Big Pun,645
Big Red Machine,646
Big Scoob,647
Big Sean,648
Big Smo,649
Big Spring,650
Big Star,651
Big Thief,652
Big Yayo,653
Bigg Robb,654
Biig Piig,655
Bill Charlap,656
Bill Charlap Trio,657
Bill Dixon,658
Bill Doggett,659
Bill Evans,660
Bill Evans Trio,661
Bill Frisell,662
Billie Holiday,663
Billy Bragg,664
Billy Cobham,665
Billy Currington,666
Billy Dean,667
Billy Gilman,668
Billy Hector,669
Billy Idol,670
Billy Joe Shaver,671
Billy Joel,672
Billy Lemos,673
Billy Ray Cyrus,674
Billy Soul Bonds,675
Billy Squier,676
Billy Stewart,677
Billy Talent,678
Biosphere,679
Birdman,680
Birocratic,681
Biréli Lagrène,682
Bishop Briggs,683
Bishop Nehru,684
Bix Beiderbecke,685
Biz Markie,686
Bizzle,687
Bjarno,688
Björk,689
Blac Youngsta,690
Black Country Communion,691
Black Devil Disco Club,692
Black Diamond Heavies,693
Black Flag,694
Black Grape,695
Black Joe Lewis & The Honeybears,696
Black Label Society,697
Black Lips,698
Black Moon,699
Black Mountain,700
Black Oak Arkansas,701
Black Pistol Fire,702
Black Rebel Motorcycle Club,703
Black Sabbath,704
Black Sheep,705
Black Star,706
Black Stone Cherry,707
Black Tiger Sex Machine,708
Black Veil Brides,709
BlackHawk,710
Blackalicious,711
Blackberry Smoke,712
Blackbird Blackbird,713
Blackfoot,714
Blackstreet,715
Blaine Larsen,716
Blake Aaron,717
Blake Shelton,718
Blaze Foley,719
Bleachers,720
Bleeker,721
Bleu Edmondson,722
Blind Boy Fuller,723
Blind Faith,724
Blind Guardian,725
Blind Lemon Jefferson,726
Blind Melon,727
Blind Pilot,728
Blind Willie Johnson,729
Blind Willie McTell,730
Blindside,731
Blindside Blues Band,732
Bliss n Eso,733
Blitzen Trapper,734
Bloc Party,735
BlocBoy JB,736
Blockhead,737
Blonde Redhead,738
Blondie,739
Blood Orange,740
"Blood, Sweat & Tears",741
Bloodbound,742
Bloodhound Gang,743
Blossom Dearie,744
Blu & Exile,745
Blue Lab Beats,746
Blue October,747
Blue Six,748
Blue States,749
Blue Öyster Cult,750
Blueface,751
Blues Saraceno,752
Blues Traveler,753
Bluestaeb,754
Blundetto,755
BluntOne,756
Blur,757
Bmike,758
Bo Diddley,759
Bo Phillips,760
Boards of Canada,761
Boaz van de Beatz,762
Bob Baldwin,763
Bob Brozman,764
Bob Chilcott,765
Bob Dylan,766
Bob James,767
Bob Reynolds,768
Bob Schneider,769
Bob Seger,770
Bob Weir,771
Bob Welch,772
Bobaflex,773
Bobbi Humphrey,774
Bobbie Gentry,775
"Bobby ""Blue"" Bland",776
Bobby Bare,777
Bobby Brown,778
Bobby Darin,779
Bobby Day,780
Bobby Freeman,781
Bobby Hutcherson,782
Bobby Lyle,783
Bobby Rush,784
Bobby Shmurda,785
Bobby V.,786
Bobby Valentin,787
Boeboe,788
Bohren & Der Club Of Gore,789
Bohuslav Martinů,790
Boku no Lyric no Boyomi,791
Bomba Estéreo,792
Bombay Bicycle Club,793
Bombay Jayashri,794
Bombino,795
Bon Jovi,796
Bone Crusher,797
Bone Thugs-N-Harmony,798
Bones Owens,799
Boney James,800
Bonnie Raitt,801
Bonnie Tyler,802
Bonobo,803
Bonus Points,804
Booba,805
Boogie,806
Boogie Belgique,807
Boogie T,808
Booka Shade,809
Booker Ervin,810
Booker T. & the M.G.'s,811
Boombox Cartel,812
Boondox,813
Boosie Badazz,814
Bootsy Collins,815
Boozoo Bajou,816
Borgore,817
Born Without Bones,818
Borodin Quartet,819
Boston,820
Boston George,821
Boston Manor,822
Boston Symphony Orchestra,823
Botnek,824
Bottleneck,825
Bow Wow,826
Bowling For Soup,827
Boyce Avenue,828
Boys Age,829
Boys Like Girls,830
Boys Noize,831
Boyz N Da Hood,832
Boz Scaggs,833
Brad Cox,834
Brad Mehldau,835
Brad Mehldau Trio,836
Brad Paisley,837
Branchez,838
Brand Nubian,839
Brandi Carlile,840
Brandon Heath,841
Brandon Lay,842
Brandon Ratcliff,843
Brandon Ray,844
Brandon Rhyder,845
Brandy,846
Brandy Clark,847
Brant Bjork,848
Brantley Gilbert,849
Brass Construction,850
