category,code
101.384,419
101.396,420
101.40299999999999,421
101.405,422
101.40799999999999,423
101.413,424
101.414,425
101.417,426
101.42299999999999,427
101.42399999999999,428
101.427,429
101.43299999999999,430
101.436,431
101.43799999999999,432
101.449,433
101.45,434
101.45100000000001,435
101.46,436
101.46600000000001,437
101.475,438
101.493,439
101.499,440
101.507,441
101.51,442
101.51299999999999,443
101.515,444
101.51700000000001,445
101.522,446
101.525,447
101.536,448
101.539,449
101.54700000000001,450
101.54899999999999,451
101.554,452
101.557,453
101.561,454
101.56299999999999,455
101.564,456
101.568,457
101.571,458
101.574,459
101.579,460
101.584,461
101.586,462
101.587,463
101.589,464
101.59,465
101.59299999999999,466
101.598,467
101.61,468
101.615,469
101.616,470
101.62299999999999,471
101.62799999999999,472
101.62899999999999,473
101.63600000000001,474
101.641,475
101.65100000000001,476
101.654,477
101.66799999999999,478
101.671,479
101.67299999999999,480
101.678,481
101.679,482
101.68700000000001,483
101.698,484
101.7,485
101.711,486
101.71799999999999,487
101.726,488
101.73,489
101.73100000000001,490
101.738,491
101.73899999999999,492
101.74700000000001,493
101.758,494
101.759,495
101.76,496
101.765,497
101.76700000000001,498
101.771,499
101.78,500
101.78299999999999,501
101.787,502
101.789,503
101.794,504
101.795,505
101.796,506
101.79700000000001,507
101.79799999999999,508
101.811,509
101.822,510
101.82600000000001,511
101.82700000000001,512
101.829,513
101.833,514
101.84899999999999,515
101.854,516
101.855,517
101.85799999999999,518
101.865,519
101.866,520
101.867,521
101.868,522
101.869,523
101.876,524
101.87799999999999,525
101.881,526
101.882,527
101.884,528
101.885,529
101.889,530
101.89299999999999,531
101.89399999999999,532
101.895,533
101.906,534
101.912,535
101.917,536
101.91799999999999,537
101.919,538
101.92,539
101.925,540
101.927,541
101.929,542
101.931,543
101.936,544
101.939,545
101.941,546
101.94200000000001,547
101.945,548
101.947,549
101.95,550
101.95200000000001,551
101.95299999999999,552
101.956,553
101.96,554
101.963,555
101.965,556
101.96700000000001,557
101.96799999999999,558
101.969,559
101.97,560
101.97200000000001,561
101.975,562
101.976,563
101.977,564
101.979,565
101.98100000000001,566
101.98200000000001,567
101.98299999999999,568
101.984,569
101.985,570
101.986,571
101.98700000000001,572
101.988,573
101.98899999999999,574
101.99,575
101.992,576
101.993,577
101.994,578
101.995,579
101.99600000000001,580
101.99700000000001,581
101.99799999999999,582
101.999,583
102.0,584
102.001,585
102.00200000000001,586
102.00299999999999,587
102.005,588
102.006,589
102.007,590
102.008,591
102.009,592
102.01,593
102.01100000000001,594
102.012,595
102.015,596
102.016,597
102.01700000000001,598
102.01799999999999,599
102.02,600
102.021,601
102.023,602
102.024,603
102.025,604
102.02600000000001,605
102.027,606
102.02799999999999,607
102.029,608
102.03,609
102.031,610
102.03200000000001,611
102.03299999999999,612
102.03399999999999,613
102.035,614
102.036,615
102.039,616
102.04,617
102.041,618
102.04299999999999,619
102.04799999999999,620
102.04899999999999,621
102.051,622
102.052,623
102.053,624
102.054,625
102.056,626
102.057,627
102.05799999999999,628
102.06200000000001,629
102.064,630
102.065,631
102.07,632
102.071,633
102.074,634
102.07600000000001,635
102.07700000000001,636
102.079,637
102.08,638
102.087,639
102.089,640
102.09,641
102.09100000000001,642
102.09299999999999,643
102.096,644
102.103,645
102.104,646
102.115,647
102.12,648
102.12100000000001,649
102.124,650
102.12899999999999,651
102.132,652
102.134,653
102.141,654
102.15799999999999,655
102.164,656
102.169,657
102.18,658
102.198,659
102.199,660
102.20100000000001,661
102.206,662
102.221,663
102.223,664
102.249,665
