duration_ms,instance_id,track_name,tempo,artist_name,popularity,loudness,key,music_genre,mode,obtained_date,acousticness
266282.0,54696.0,39170.0,8102.0,1591.0,29.0,-4.396,3.0,5.0,1.0,2.0,0.158
185333.0,49375.0,17033.0,10379.0,5741.0,35.0,-3.2310000000000003,11.0,5.0,0.0,3.0,6.02e-05
307328.0,66905.0,737.0,5058.0,6763.0,50.0,-11.883,9.0,5.0,1.0,3.0,0.0281
241877.0,58010.0,5753.0,13013.0,238.0,44.0,-4.37,0.0,5.0,1.0,3.0,0.00804
227756.0,56436.0,8786.0,24301.0,4731.0,29.0,-9.062,10.0,5.0,1.0,3.0,0.00998
364347.0,62931.0,11262.0,16193.0,3841.0,43.0,-11.293,9.0,5.0,0.0,3.0,0.00949
215280.0,50675.0,37897.0,2755.0,1591.0,33.0,-4.212,8.0,5.0,0.0,3.0,0.00825
-1.0,40033.0,8499.0,1692.0,5993.0,56.0,-3.4960000000000004,3.0,5.0,0.0,3.0,0.068
221050.0,36047.0,27614.0,7259.0,6763.0,34.0,-1.538,5.0,5.0,0.0,3.0,0.0236
214000.0,81428.0,32252.0,5655.0,1950.0,21.0,-7.475,2.0,5.0,1.0,3.0,0.00362
309943.0,69214.0,29088.0,18113.0,539.0,29.0,-4.044,8.0,5.0,1.0,3.0,0.00336
446413.0,75870.0,12611.0,4201.0,1421.0,31.0,-12.749,7.0,5.0,1.0,3.0,0.0422
222241.0,21409.0,38926.0,10267.0,812.0,28.0,-3.783,4.0,5.0,0.0,3.0,0.0336
264576.0,78743.0,34503.0,8133.0,637.0,35.0,-2.734,5.0,5.0,1.0,3.0,0.000556
467816.0,63497.0,10306.0,8768.0,2998.0,48.0,-11.22,10.0,5.0,0.0,3.0,0.0001899999999999
274286.0,25836.0,2519.0,29393.0,4448.0,45.0,-7.569,8.0,5.0,1.0,3.0,0.0233
240627.0,51979.0,1680.0,20070.0,4650.0,53.0,-2.7060000000000004,2.0,5.0,0.0,3.0,0.103
297775.0,64269.0,25251.0,10574.0,3841.0,63.0,-13.385,11.0,5.0,0.0,3.0,0.414
-1.0,27048.0,16461.0,29393.0,1926.0,33.0,-5.781000000000001,0.0,5.0,1.0,3.0,0.108
253333.0,55617.0,34107.0,29393.0,6494.0,45.0,-5.259,10.0,5.0,0.0,3.0,0.0478
346324.0,28849.0,222.0,2523.0,5786.0,25.0,-2.8760000000000003,5.0,5.0,0.0,3.0,0.149
242773.0,87650.0,31025.0,15959.0,161.0,36.0,-9.661,8.0,5.0,1.0,3.0,0.66
429941.0,69685.0,37121.0,29393.0,1399.0,37.0,-12.52,1.0,5.0,1.0,3.0,0.203
-1.0,50080.0,12415.0,11619.0,5989.0,36.0,-9.113,4.0,5.0,0.0,3.0,0.181
533013.0,83854.0,20022.0,29393.0,6352.0,51.0,-7.854,0.0,5.0,1.0,3.0,0.0776
367307.0,85160.0,26162.0,10598.0,1588.0,34.0,-5.865,3.0,5.0,0.0,3.0,7.879999999999999e-05
-1.0,82465.0,24876.0,5631.0,0.0,43.0,-7.627000000000001,3.0,5.0,0.0,3.0,0.1689999999999999
222147.0,37340.0,39313.0,7984.0,6763.0,31.0,-6.805,5.0,5.0,1.0,3.0,0.0035
-1.0,32724.0,19769.0,14091.0,808.0,37.0,-0.317,1.0,5.0,1.0,3.0,0.00929
260952.0,77227.0,12063.0,7530.0,2644.0,48.0,-3.818,4.0,5.0,0.0,3.0,0.00409
233893.0,89698.0,3341.0,3784.0,6117.0,30.0,-12.991,0.0,5.0,1.0,3.0,0.0579999999999999
376733.0,46931.0,20241.0,14339.0,2998.0,55.0,-15.88,4.0,5.0,0.0,3.0,0.636
259587.0,21011.0,12332.0,7492.0,5993.0,25.0,-3.46,10.0,5.0,0.0,3.0,0.0378
196507.0,52294.0,7545.0,6502.0,4429.0,49.0,-6.295,10.0,5.0,1.0,3.0,0.111
237827.0,29034.0,18423.0,27476.0,803.0,59.0,-8.333,9.0,5.0,1.0,3.0,0.173
-1.0,82537.0,20423.0,3183.0,5630.0,27.0,-15.523,8.0,5.0,1.0,3.0,0.7020000000000001
233613.0,84151.0,6499.0,17320.0,6217.0,33.0,-13.57,10.0,5.0,0.0,3.0,0.718
205507.0,75666.0,19317.0,8013.0,3088.0,32.0,-2.189,4.0,5.0,0.0,3.0,0.0662
356576.0,50750.0,24983.0,6832.0,2337.0,41.0,-8.007,3.0,5.0,1.0,3.0,0.627
188764.0,22365.0,33365.0,21499.0,1599.0,47.0,-1.286,1.0,5.0,1.0,3.0,0.0004089999999999
341400.0,20276.0,22507.0,1716.0,2360.0,39.0,-17.647000000000002,11.0,5.0,0.0,3.0,0.0106
201410.0,20659.0,13068.0,12432.0,5598.0,41.0,-3.954,4.0,5.0,0.0,3.0,0.00155
227467.0,25644.0,10532.0,8127.0,3272.0,38.0,-1.51,2.0,5.0,1.0,3.0,0.0827
337091.0,72418.0,26430.0,2741.0,2006.0,27.0,-14.892,3.0,5.0,0.0,3.0,0.216
202333.0,30828.0,20921.0,6004.0,604.0,38.0,-5.275,0.0,5.0,1.0,3.0,0.0816
-1.0,58304.0,34462.0,3340.0,6517.0,52.0,-11.457,5.0,5.0,0.0,3.0,0.0084599999999999
248276.0,75017.0,5846.0,13027.0,5047.0,32.0,-0.643,4.0,5.0,0.0,3.0,0.0151
268000.0,29586.0,9901.0,14270.0,2018.0,34.0,-3.899,8.0,5.0,1.0,3.0,0.0143
312227.0,52627.0,30854.0,7987.0,4228.0,33.0,-5.99,0.0,5.0,1.0,3.0,0.0192
219293.0,35227.0,30163.0,4981.0,4038.0,31.0,-7.987999999999999,2.0,5.0,1.0,3.0,0.011
223300.0,45906.0,21774.0,13967.0,1707.0,28.0,-2.849,2.0,5.0,0.0,3.0,0.00431
378688.0,70473.0,25478.0,6277.0,4228.0,27.0,-6.84,3.0,5.0,0.0,3.0,0.0003549999999999
